groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
DanVivRu,4,4,2,10,9
DanVivRu,5,3,2,8,10
DanVivRu,5,0,6,10,1
DanVivRu,8,4,0,9,11
DanVivRu,9,2,3,11,0
DanVivRu,1,1,4,19,0
DanVivRu,2,0,14,8,0
DanVivRu,6,3,2,9,9
DanVivRu,4,1,1,18,1
DanVivRu,7,2,8,6,0
DanVivRu,8,2,3,6,11
DanVivRu,2,0,13,4,3
DanVivRu,4,3,11,3,3
DanVivRu,0,0,14,4,6
DanVivRu,3,2,3,14,2
DanVivRu,2,0,7,8,5
DanVivRu,9,2,1,9,6
DanVivRu,4,3,2,16,1
DanVivRu,8,1,5,10,0
DanVivRu,3,0,9,5,4
DanVivRu,5,1,7,10,0
DanVivRu,2,1,14,3,2
DanVivRu,3,2,5,9,3
DanVivRu,1,0,14,3,4
DanVivRu,2,0,2,26,0
DanVivRu,4,1,3,9,10
